TokenId,LastSalePrice,Background,BackgroundRarity,Earring,EarringRarity,Fur,FurRarity,Eyes,EyesRarity,Mouth,MouthRarity,Clothes,ClothesRarity,Hat,HatRarity,LastSaleToken,NumberOfSales,SaleDate,USDPrice,LogUSDPrice,Outlier
4955,0.075,Purple,0.1291,,,Golden Brown,0.0778,Bloodshot,0.0846,Discomfort,0.0208,Hawaiian,0.0283,Irish Boho,0.0225,Ether,1.0,2021-05-01 07:48:59.107959,308.748,5.732525410188413,1
1385,0.16,Orange,0.1273,,,Dark Brown,0.1352,Bloodshot,0.0846,Bored Unshaven Cigarette,0.0438,Bone Necklace,0.0203,Fisherman's Hat,0.0345,Ether,1.0,2021-05-01 07:49:14.865761,655.192,6.484928322452107,1
4785,0.06,Purple,0.1291,,,White,0.0397,Bored,0.1714,Phoneme Oh,0.0237,Prison Jumpsuit,0.0235,Fisherman's Hat,0.0345,Ether,1.0,2021-05-01 07:51:09.042779,246.9984,5.509381858874203,1
663,0.089,Gray,0.117,,,Black,0.1229,Bored,0.1714,Grin,0.0713,Toga,0.0202,Irish Boho,0.0225,Ether,2.0,2021-05-01 07:51:21.918652,364.45055,5.89839087695042,1
4564,0.09,New Punk Blue,0.1232,,,Blue,0.049,Eyepatch,0.0333,Bored Cigarette,0.071,Stunt Jacket,0.0178,,,Ether,1.0,2021-05-01 07:52:10.583836,370.4976,5.914846966982368,1
5323,0.07,Aquamarine,0.1266,,,Tan,0.0626,Eyepatch,0.0333,Bored Unshaven,0.1551,Navy Striped Tee,0.0334,Short Mohawk,0.0318,Ether,1.0,2021-05-01 07:53:14.864706,288.16480000000007,5.663532538701461,1
4784,0.075,Aquamarine,0.1266,,,Dark Brown,0.1352,Bloodshot,0.0846,Bored,0.2272,Tuxedo Tee,0.0235,Sushi Chef Headband,0.0187,Ether,2.0,2021-05-01 07:56:34.660859,308.748,5.732525410188413,1
3443,0.1,Aquamarine,0.1266,,,Blue,0.049,Bored,0.1714,Bored,0.2272,Lab Coat,0.0144,Cowboy Hat,0.0354,Ether,1.0,2021-05-01 08:13:00.985938,409.495,6.014924693206371,1
6487,0.1,Yellow,0.1283,,,Black,0.1229,Coins,0.0479,Bored,0.2272,Prom Dress,0.0103,Police Motorcycle Helmet,0.013,Ether,1.0,2021-05-01 08:18:45.558069,411.664,6.020207482640194,1
5946,0.16,Blue,0.1242,,,Black,0.1229,Sleepy,0.0751,Bored Pipe,0.0132,Bayc T Black,0.0215,Beanie,0.0578,Ether,1.0,2021-05-01 08:20:34.561148,658.6624,6.490211111885929,1
